article_id,question,answer
20_1889-10-11_p3_sn94053256_00271763037_1889101101_0360,What is the significance of Starved Rock in Indian history?,Starved Rock is a historical site where the Illini tribe faced a tragic siege resulting in their near extermination.
52_1889-10-11_p3_sn94053256_00271763037_1889101101_0360,"Where can I find dry goods, millinery, and other similar products?",E. T. Turner Co. is located at Exchange Place.
23_1889-10-11_p3_sn94053256_00271763037_1889101101_0360,What was the dispute between Bogus and Joe about?,The dispute between Bogus and Joe was about the race between their horses.
24_1889-10-11_p3_sn94053256_00271763037_1889101101_0360,What did Bob Tunnycliff say about his horse?,Bob Tunnycliff said that his horse can't run.
57_1889-10-11_p3_sn94053256_00271763037_1889101101_0360,Where is T.F. Kelly's establishment located?,"180 Bank Street, Waterbury, Connecticut."
1_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,Why is the secret ballot seen as a solution to the corruption in elections?,The secret ballot would greatly reduce bribery and ensure the popular will is the ruling element in government.
2_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What is the estimated weight of the bell that will be placed in the tower of the public building in Philadelphia?,"The bell is estimated to weigh between 10,000 and 15,000 pounds."
3_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What is the unique setup for employees working along the railroads in Denmark?,"Man and wife are typically employed by the state, with the man as a track walker and the woman as a guard."
6_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What is the purpose of the judiciary committee of the legislature in relation to the secret ballot at elections?,The judiciary committee aims to provide an opportunity for all individuals to present their views on the best way to ensure a secret ballot at elections.
7_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What was the outcome of the bet between the Republican and Democrat politicians in Illinois?,The Republican politician won the bet but the Democrat refused to pay the agreed amount.
8_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,Who is the individual that had to make a speech on short notice in Philadelphia?,Dan Dougherty
9_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What kind of piano does the first lady recommend for actual use over just for show?,The Shoninger piano.
10_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What is the purpose of the patented device for musicians?,The device is designed to protect the fingers of musicians while playing on stringed instruments.
11_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What position did the New York press take in regards to the Republican party and the tariff?,The New York press believed that the Republican party was pledged to revise the tariff and reduce the revenue.
13_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What do the judges in the higher courts of New York want to start wearing?,Gowns
14_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What political party passed the tariff bill in the Senate?,The Republican party passed the tariff bill in the Senate.
19_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What is the reasoning behind not removing the Maine capital from Augusta?,"The argument is that a rural legislator can enjoy a social life in Augusta without needing expensive formal attire, unlike in Portland."
20_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,Why should the republican sheets advocating for war with Germany keep cool?,Because they will need German votes in a few years and their current angry statements could harm their reputation.
21_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,Where is Dr. Gill's office located?,"Dr. Gill's office is located at 155 South Main Street, Waterbury, Connecticut."
32_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,What can be used to make wrinkled silk appear nearly like new?,Sponge the surface with a weak solution of gum arabic on white gloves.
42_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,How would a key holder give an alarm using the fire alarm box at corner Willow and West Main?,"To give an alarm, they would open the door, pull the hook down once and let go, then close the door."
61_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,Where is the store located?,The store is located at 10 Rank Street.
69_1889-01-23_p2_sn94053256_00271763062_1889012301_0083,"What time does the Washington Express depart for Newburgh, Philadelphia, Baltimore, and Washington with Pullman sleeping cars?",The Washington Express departs at 10:42 pm.
3_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,Who was the horse owner involved in the petition discussed in the report?,Johannes van Dyk
4_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,What is the purpose of the railway tracks described in the text?,The railway tracks are meant for the operation of a street railway system.
5_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,What is the total number of council members mentioned in the ordinance?,The ordinance mentions 10 council members.
7_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,What is the purpose of the ordinance described in the context provided?,"The purpose of the ordinance is to grant rights and privileges to a railway company to operate cable lines within a city, subject to certain conditions and regulations."
9_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,Who is at the head of the general committee?,The mayor.
12_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,What is the shortest line between Detroit and Grand Rapids?,The shortest line between Detroit and Grand Rapids is on the Grand Trunk Railway.
15_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,"What is the schedule of the Dalit FDA train, except on Sundays?",The Dalit FDA train runs daily except on Sundays.
20_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,Who is the chairman of the committee on fire department in the presented context?,A.A. Stokes
22_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,What is the main topic of the text?,The main topic of the text is about different locations and travel routes in Indiana and surrounding areas.
32_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,What is the age of James Coz?,The age of James Coz is not specified in the context provided.
35_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,"What services are available daily, except for Sundays?","Sleeping cars of Pacific and Atlantic lines, pressing and ironing services are available."
37_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,What is the main subject of the text?,The main subject of the text is not clearly defined or understandable.
38_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,What are the terms and conditions related to the ordinance exports mentioned in the context?,"The terms and conditions for ordinance exports are specified as ""a ps a l ssapaittees."""
41_1889-10-02_p3_sn98066392_00296024430_1889100201_0600,When does the train leave Grand Rapids for Aucgau al on January 20?,The train leaves on January 20.
1_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,Who were the original discoverers of the rich claims in the Harqua Hala Mountains?,"The original discovery in the Harqua Halas was made by three men named Bob Stein, Harry Wharton, and Bob Sullivan."
2_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What is the reward offered for any case of catarrh that cannot be cured by taking Halls Catarrh Cure?,One hundred dollars.
3_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What did the New York Evening Sun report regarding the Electric Sugar Refinery Company?,The New York Evening Sun reported an almost incredible tale of gigantic fraud where the company was duped of over a million dollars.
4_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,Who were the individuals involved in attending to the shipment of high-grade ore from the Twig mine?,"Messrs. Grant, Mills, and Miller were down from Silver Basin to attend to the shipment."
5_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What does the New Orleans Christian Advocate disapprove of?,Selling fruit on Sunday as medicine.
6_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What is the purpose of the bill introduced in Congress regarding Arizona and New Mexico?,The bill aims to make the territories of Arizona and New Mexico into states.
7_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What subjects are included in the examinations for ad missions to the railway mail service as per President Cleveland's rules?,"The subjects include orthography, reading addresses, copying penmanship, arithmetic, letter writing, and geography of the United States."
8_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,Who is being urged for governor by The Nogales Herald?,George Christ is being urged for governor by The Nogales Herald.
9_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,Which conductors run passengers between Winslow and Needles?,"Messrs. Fitzgerald, Fish, and Bruce."
10_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What makes the land owned by the Atlantic Pacific Company valuable for grazing and farming?,The land's fertile soil and ample access to water sources make it ideal for grazing and farming activities.
11_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,Who has purchased the interest of R. II. Harberd in the Bazoo?,Dir. Jas. 2. Booth has purchased the interest of R. II. Harberd in the Bazoo.
12_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What is the importance of Yavapai politicians looking out for the interests of their county?,It could prevent discussions about moving the capital to Phoenix.
15_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What did the President and Mrs. Cleveland do for Christmas dinner?,"They ate alone, as did everyone else."
17_1889-01-12_p3_sn84024828_00211100606_1889011201_0434,What is the main focus of the Phoenix Electric Light Company?,Getting a contract to light the insane asylum.
2_1889-12-20_p8_sn85042460_00280769290_1889122001_0457,Who was charged with having aided and abetted prisoners in escaping?,Constable Joseph Johnson of Lancaster.
4_1889-12-20_p8_sn85042460_00280769290_1889122001_0457,Who is on trial for the murder of Hugh Boyd?,Robert Campbell is on trial for the murder of Hugh Boyd.
5_1889-12-20_p8_sn85042460_00280769290_1889122001_0457,Who was charged with assault with a deadly weapon and pleaded not guilty yesterday?,Manuel Belardez was charged with assault with a deadly weapon and pleaded not guilty.
10_1889-12-20_p8_sn85042460_00280769290_1889122001_0457,Who went north last night?,W. J. Brown went north last night.
17_1889-12-20_p8_sn85042460_00280769290_1889122001_0457,Where is the first lady licentiate of Kentucky T. educated?,She was educated abroad.
19_1889-12-20_p8_sn85042460_00280769290_1889122001_0457,Who is the well-known book engraver who wrote to Edwin W. Joy Co. about his experience with Joys vegetable sarsaparilla?,a. Werner
2_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Where can one find an elegant stock of clothing in western Maryland?,At the store of Joseph Bear on Main Street in Frostburg.
3_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Who did the mayor thank for their cooperation in administering the affairs of the corporation?,The mayor thanked the board for its hearty cooperation.
4_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,What time did the mayor and councilmen meet in the council chamber on Monday evening?,They met at 10 o'clock.
5_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Who is the architect of the new St. Joseph's Church?,The architect of the new St. Joseph's Church is Philip Y. Dwyer.
6_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,"Who purchased the stock, equipment, and goodwill of C. Lambert's drug store?",Robert G. Colborn.
8_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,What landmark on Main Street in Frostburg has recently been torn down?,"The old stone house that was above water, purchased by Owen Hitchins."
10_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,What is the journal not capable of doing?,The journal is not capable of prophesying or predicting the future.
11_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,"What is the context of the statement provided by James Hanson, the clerk of Frostburg?","The statement is the annual report on the receipts and disbursements of the town government for the year ending November 1889, as well as the financial condition of the town."
13_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,"Who examined the books and vouchers of the clerk, balitl, and treasurer?","Thomas Hill, Henry J. Powell, and May IL from the finance committee."
19_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Who is the manager of the popular Iron Front store?,Mr. McMullen
24_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Who set the old corner stone for the church?,Mr. Dwyer reset the old corner stone for the church.
25_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,What was the state attorney commended for in the case of State vs. County Commissioners?,The state attorney was commended for their bold and persistent stand taken on behalf of Hollie Proseyhi.
26_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,What was the reason for Rev. F. G. Jessup resigning from his position at the English Lutheran Church?,Rev. F. G. Jessup resigned to accept a call to Chicago.
28_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Who killed his wife in the context provided?,Melville E. Garlitz killed his wife.
29_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,What does the local item elsewhere indicate about the sales people's efforts?,The local item elsewhere indicates that salespeople are trying to find some relief from work between cleaning and bedtime.
30_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Who is retiring from active life due to health reasons in the compounder of medicines context?,Mr. Lambert is retiring from active life due to his health not being equal to the demands of the business.
31_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,What occasion was being described at the Eutaw House in Baltimore?,A happy gathering of journalists from Maryland.
35_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Who has been appointed as the school trustees?,The school trustees have been appointed by the commissioners.
39_1889-05-11_pNone_sn85025350_00415627695_1889051101_0516,Where is the famous picture of the Battle of Bull Run exhibited?,The famous picture is exhibited in the panorama building on 15th street in Washington.
1_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What has been suggested to accommodate the large crowd traveling to Bismarck for the Fourth?,"Leaving extra Pullman cars at Fargo on the night of the 1st, to be attached to the next morning westbound train."
2_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What is the policy of the Cherokee nation regarding their lands according to Mr. Shelton?,The Cherokees do not want to sell any of their lands or divide them up. They prefer to hold the land in common.
3_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What is causing growing fear among farmers despite the lack of noted injuries to grain?,"The fear stems from the fact that crops are not yet beyond danger and good, general, soaking rain is needed."
4_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who has been named as a possible contestant of Gov. Mellette for the gubernatorial chair in South Dakota?,Hon. J. H. Parren of Miner County.
5_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What is the current sentiment among the Indians regarding the proposed treaty?,The Indians are stubborn and signing the proposed treaty very slowly.
6_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What is the significance of the prohibition plank in the platform of the Farmers Alliance of South Dakota?,The prohibition plank promises to provide a political picnic for South Dakotans.
7_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What does the fact that omnibus bill does not provide for a stenographer for the forthcoming constitutional convention mean?,It means that the convention will need to make separate provisions for hiring a stenographer.
8_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who has consented to sign the treaty for the opening of the Sioux reservation according to the chamberlain dispatch?,White Ghost.
9_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What did Judge Pendererasr emphasize in his decision regarding the influence of partisanship in charitable institutions?,Judge Pendererasr emphasized the need to remove institutions from the influences of partisanship to prevent the pollution of charity by politics.
10_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,"According to the text, why was the election in the Keystone State a black eye for the prohibitionists?",The election was a black eye for the prohibitionists because prohibition cannot be enforced where the sentiment is not strong enough to back up the law.
11_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,When is the Territorial Republican Committee meeting called by Chairman Allen?,The meeting is scheduled for July 4th.
12_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who expressed the opinion that the northern Pacific bridge over the Missouri River is subject to taxation?,Attorney General Nickeus
13_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What event will the Bismarck Daily Tribune be covering fully next month?,The Constitutional Convention.
14_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,How do those appointed to office view the administration?,Those appointed to office consider that there never was such an administration.
15_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What is the current speculation regarding Gen. Allen's potential political aspirations?,"It is reported that he is being urged as a candidate for governor, though it's unclear if he has shown willingness or desire for the nomination."
16_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who has been personally invited to participate in the Fourth of July celebration in Bismarck?,"The guests, specifically Dakotans throughout the territory, who have been personally invited to be the city's guests."
17_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Why can't Bismarck shout too loud over the crop being raised in the country?,Bismarck cannot shout too loud over the crop being raised in the country because the noise from the surrounding chatter is too loud.
18_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who is gen. hugh j. campbell?,Gen. Hugh J. Campbell is a prominent figure in South Dakota known for his advocacy for farmers.
19_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What character is being referred to in the context?,Uncle Sam
20_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What special editions of Dakota newspapers were recently published?,The Sioux Falls Argus Leader and the Grand Forks Plain Dealer.
21_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who were advertised as among the attractions at the firemen's tournament in Yankton?,Chaska and his bride were advertised as among the attractions.
22_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,"What is the main route for the daily fast limited express between St. Paul, Minneapolis, and Chicago?",The main route for the express is St. Paul to Minneapolis to Chicago.
23_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who was Mrs. R. B. Hayes?,"Mrs. R. B. Hayes was the wife of President Rutherford B. Hayes, who served as the First Lady of the United States."
24_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What did the Philadelphia Record report about the capital represented by the banks in North Dakota at the recent bankers meeting in Fargo?,"The Philadelphia Record reported that the $100,000 capital represented by the banks in North Dakota is more than the capital of any one of twenty-eight states."
25_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who is the prominent editor that was omitted from Rowell's latest newspaper directory?,Banker Root of Valley City.
26_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Where is the farmers alliance of North Dakota holding its session this week?,The farmers alliance of North Dakota is holding its session at Fargo this week.
27_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,"Why does the Chicago, Milwaukee, and St. Paul Road need to build to Bismarck?",The crop prospects in the Missouri River valley and untapped business opportunities make it necessary.
28_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,"What was the significance of the defeat of prohibition in Pennsylvania by a majority of nearly 100,000?",The defeat of prohibition in Pennsylvania by such a large margin signifies a strong opposition to implementing prohibition laws in the state.
30_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,How would you describe Chicago's attitude towards generosity and public spirit?,"Chicago is typically Western, never neglecting an opportunity to be broad gauge, generous, and public-spirited."
32_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What resolution did the farmers alliance pass regarding their involvement in financial schemes or investment companies?,The farmers alliance resolved to take no part in any capital schemes or investment companies.
33_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What is the significance of the tone of the press in relation to the Clan na Gael?,The press's negative tone indicates that there is no favorable view of the Clan na Gael in America currently.
34_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who is General Allen?,General Allen is considered to possess abilities equal to any man in the territory and superior to many potential candidates for senator or governor.
35_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who are the Sioux Falls Boomers?,The Sioux Falls Boomers are a group of individuals from Sioux Falls who are talking about a new motor line between their city and Yankton.
36_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Where is Chairman Allen calling the meeting of the Republican committee to take place?,Chairman Allen has called a meeting of the Republican committee to meet in North Dakota at Bismarck and South Dakota at Sioux Falls on July 4th.
37_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who is being appointed to succeed J.J. Rogers in the Grand Forks land office?,"James I. Stokes, the Rolla banker."
39_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Why is Maj. Edwards pleased with the mention of his name in connection with the census?,Maj. Edwards feels honored and acknowledged for his potential role in the census.
40_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What was the final score of the baseball game between Indianapolis and Boston on Tuesday?,"Indianapolis won with a score of 5, and Boston had 4."
41_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Who is Colonel Plummer after?,The character assassins.
46_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,What significant event happened in Pennsylvania on Tuesday involving a boat race?,Pennsylvania won the boat race from Yale on Tuesday.
48_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,When will the reduction in freight rates by the lake superior roads take effect?,The reduction will take effect from June 1st.
49_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,Where is the Daily Tribune published and what are the delivery details?,"The Daily Tribune is published every morning, except Monday, in Bismarck, Dakota. It is delivered by carrier to all parts of the city at 15 cents per week or $1 per month."
51_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,"What was the cause of death for W. D. Osborne in Evansville, Indiana?",W. D. Osborne died instantly after pitching forward onto a circular saw in a saw mill.
52_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,"Who was hanged on June 25 in Wilkes-Barre, PA?",Red Nosed Mike
58_1889-06-28_p4_sn85042588_00212470879_1889062801_0641,"Who were the individuals involved in the boating party tragedy in Albany, N.Y.?","John Mattimore, Ed Ward, James Cody, Maud and Maggie Horner, and two girl cousins of the Horners from Hudson, N.Y."
1_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,When is the skating carnival taking place at the rink?,The skating carnival will be held next Tuesday evening.
2_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What information did the exploring commission ordered from Hermosillo return with?,"The commission reported about an active volcano in the Sierra Madre mountains, southeast of Bavispe."
3_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,When is the grand masquerade taking place at Mining Exchange Hall?,The grand masquerade is happening next Tuesday evening at Mining Exchange Hall.
4_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What company has the original assay certificates for the valuable mineral ore?,Messrs. McNulty & Co.
5_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What is the latest update from Mexico regarding the Yaqui Indians?,The commanders of the forces against the Yaqui Indians are concentrating large bodies of troops at the mouth of the Yaqui River.
7_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,"Who are some of the people whose letters are unclaimed at the post office in Tombstone, Arizona?","The unclaimed letters include ones for Achille, Aug. Smith, W. W. or F. Parker, Miss E. Sparlin, Robert Smith, A. Trulcans, and Jas."
11_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What is the main benefit of using syrup of figs?,It effectively cleanses the system when experiencing constipation or biliousness.
12_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,"When is the entertainment at Washington Camp No. 1, P.O.S. of A. scheduled to take place?",The entertainment is scheduled to take place on the 22nd of next February.
13_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who is drawing large crowds every night at the Crystal Palace?,The new singer at the Crystal Palace.
14_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who appointed Mir. A. H. Emanuel as clerk of the court for the county?,Judge Sloan appointed Mir. A. H. Emanuel.
18_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What type of cuisine will be served at the Can Can tomorrow?,"Roast chicken, wild game, fresh oysters, and other delicacies will be served."
19_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who is retiring from the firm of Ritter Hook?,Mt. Ritter is retiring from the firm.
22_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,How did Cavedo die in the territorial prison?,"Cavedo died of ""old age"" in the territorial prison."
24_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What mine were the ore lots shipped from?,The ore lots were shipped from the Fortuna mine in Mexico.
26_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who organized the wager among the officers after the military ball at Dover?,The party of officers organized the wager.
29_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who is retiring from the firm of Ritter Hook doing business in Tomo?,Ritter is retiring.
38_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What was the recent discovery made by the Colorado River Placer Mining Company?,"They found bedrock gravel rich in gold, yielding significant amounts in pans."
47_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What group performed at the entertainment event?,The Georgia Minstrels performed at the event.
51_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What did Ben Morgan do to himself and the wine yesterday?,Ben Morgan looked upon wine until both he and it became of a deep crimson color.
56_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who had a preliminary hearing in Justice Atkins court on Thursday?,"Pi Ka Ta, an 8 San Carlos Reservation Indian charged with burglary."
58_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What kind of event will the children of the Methodist Sunday School be hosting tomorrow night at the church?,"They will be giving an entertainment, with singing, declaiming, and other activities planned."
61_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who is quoted in the provided context?,"R.C. Brown, of the Florence Enterprise."
64_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who presided over the district court convened last Tuesday?,Judge Sloan presided over the district court.
65_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,What special meal will be served at Maison Dqre tomorrow?,The usual excellent Sunday dinner will be served.
66_1889-12-21_p2_sn95060905_00211106827_1889122101_0262,Who was called to chair the meeting in the absence of Mayor Thomas and Lippert?,Campbell was called to chair the meeting.
1_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What are the key benefits of the paint described in the context?,"The paint contains a large amount of iron for strong color, does not fade, is durable, does not rust or corrode metals, has great body, covers surfaces evenly, and works smoothly under the brush."
2_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What evidence supports the claim that the stock of dress goods in Philadelphia is the largest collection anywhere in the world?,"The evidence does not rest upon the testimony of the owners or patrons, but on the voluntary testimony of disinterested experts who are knowledgeable about the dress goods markets globally."
3_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,Where did the wedding take place and who was the officiant?,The wedding occurred at the Mt. Hope Parsonage with Rev. Wilmer Coilman officiating.
4_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,Who reported on the building lines drawn in the city for the month of September?,Chief Engineer George II. Boughmau of the engineering and surveying department.
5_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What is the name of the town where the old woman lives near?,"Stod Dsrdspille, PA"
6_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,Who has passed resolutions against the Civil Service Act in Maryland?,The Republicans of Maryland have passed resolutions against the Civil Service Act.
8_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What can customers expect to find in the store's stock currently?,The store is overflowing with a wide variety of goods and special bargains.
9_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,"What are some key events taking place in the upcoming election in Montana, Washington, and the two Dakotas?","Adoption of constitutions, selection of capital sites, voting on prohibition amendments, choosing state officers and legislators to name U.S. senators and representatives to Congress."
11_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What happened at the west yard last evening?,Two more men were killed while walking on the tracks as trespassers.
12_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What preparation do oysters received in Boston typically undergo at the shipping point?,"The oysters are opened and packed in barrels, with generous icing added to keep them fresh."
13_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What transportation options are available on Sundays for a trip to Atlantic City from Philadelphia and vice versa?,Trains leave Market Street for Philadelphia and Atlantic City on both weekdays and Sundays with different departure times.
14_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,Who discovered the bundle of oiled rags blazing on the altar?,The church organist in Louisville discovered the blazing rags.
15_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What was the gentleman's initial issue with his sight?,His sight was so weak that he couldn't recognize an object just a few feet from him.
18_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What are some popular types of hats for women and girls?,"Felts are increasing in popularity, adorned with ribbons, flowers, and birds."
19_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,Where can you find bargain items for women's wear with a good selection?,"Second floor, chestnut street, at John Wanamaker's."
20_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,Who visited King Alexander in Belgrade on September 30th?,"Ex Queen Natalia paid a visit to her son, King Alexander."
25_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What is one of the main concerns military officials are discussing in relation to desertions?,The best means to prevent desertions and how to detect deserters.
26_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,How are you able to offer such low prices on a large lot of boys' and children's suitings?,We negotiate directly with manufacturers to secure discounts and pass the savings on to our customers.
28_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What is the departure time for the Wilmington express train?,The Wilmington express train departs at 10:00 AM.
30_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,"What is the significance of the millinery reception in Philadelphia on Tuesday, October 1st?","It is considered the great event of the season, showcasing over one thousand trimmed hats and bonnets."
36_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,When does the regular class for men commence?,"The regular class for men commences on October 3, on Tuesday and Thursday evenings, from 7 to 10 o'clock."
37_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,What is the address of the new Philadelphia Restaurant?,No. 116 Market Street.
40_1889-10-01_p2_sn84038114_00271741509_1889100101_0334,Why does President Harrison have difficulty finding a suitable man for the position of commissioner of pensions?,President Harrison faces difficulty due to the opposition to granting pensions during President Cleveland's administration and the criticism faced by anyone departing from that policy.
